@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' nominal
@attribute 'hour' nominal
@attribute 'time_since_last' numeric
@attribute 'likes' numeric 

@data
22,male,554,0.474123989218,5,6,9893,1
22,male,554,0.224123989218,5,1,9518,0
22,male,554,0.474123989218,5,20,10842,1
22,male,554,0.224123989218,5,17,10334,0
22,male,554,0.474123989218,5,6,2540,1
22,male,554,0.474123989218,5,2,4825,1
22,male,554,0.724123989218,5,20,10072,2
22,male,554,0.974123989218,5,4,24789,3
22,male,554,0.260527103923,5,17,6162,0
22,male,554,0.474123989218,5,5,2681,1
22,male,554,0.482791892952,5,23,1835,1
22,male,554,0.457499216142,5,21,1842,0
22,male,554,0.544856527494,5,8,135165,0
22,male,554,0.426981003666,5,14,32333,1
22,male,554,0.383726598321,5,4,50175,2
22,male,554,0.506077028716,2,5,580,1
22,male,554,0.466406538185,2,4,9425,1
22,male,554,0.466406538185,2,20,46957,0
22,male,554,0.433091785458,2,23,18541,0
22,male,554,0.447377499743,2,10,800,0
22,male,554,0.54040806123,2,22,447402,0
22,male,554,0.502561813729,2,8,1637,1
22,male,554,0.568309415319,1,11,2418,1
22,male,554,0.608654350964,1,9,5161,1
22,male,554,0.638126353763,11,19,2919240,13
22,male,554,0.290661065262,9,5,992941,0
22,male,554,0.260616882826,5,13,280790,0
22,male,554,0.196286415996,5,23,6227753,1
22,male,554,1.35019530445,7,16,1557393,8
22,male,554,0.405253511352,6,3,1226687,3
22,male,554,0.520271026095,4,15,1209749,3
22,male,554,0.783000327118,9,20,241204,2
22,male,554,0.856837038254,7,13,1940578,2
22,male,554,0.504325702389,10,22,?,1
?,male,?,0.81192725115,6,15,31711858,18
?,male,?,0.765825746557,1,3,789014,5
?,male,?,0.495334075408,12,19,3334,11
?,male,?,0.347682418262,10,22,1706034,1
?,male,?,0.604606067107,8,5,388165,2
?,male,?,0.627064083398,5,19,7951767,2
?,male,?,1.85470311581,12,12,294423,6
?,male,?,0.598882299013,9,4,198692,2
?,male,?,0.5,6,15,135393,1
?,male,?,0.665511727112,12,17,658136,4
?,male,?,0.67476311815,10,16,1187831,2
?,male,?,0.801070217657,9,23,?,0
28,female,646,0.587045895303,11,5,623514,1
28,female,646,1.10917162058,9,4,4843737,16
28,female,646,0.793795749483,6,4,2172285,11
28,female,646,0.949890656898,5,20,952043,23
28,female,646,1.20026945497,4,19,343348,18
28,female,646,0.517028959673,3,16,54268,4
28,female,646,0.753875551643,3,0,422233,6
28,female,646,0.928601256258,3,19,184176,10
28,female,646,0.32484945875,2,3,1230904,1
28,female,646,0.571363937024,1,4,360294,8
28,female,646,0.737498704314,1,3,98981,12
28,female,646,0.912885143399,12,18,240119,0
28,female,646,2.55961567101,12,14,485432,9
28,female,646,0.892144165823,12,20,511970,4
28,female,646,0.54962265611,11,0,216472,0
28,female,646,0.870375643378,11,5,151529,3
28,female,646,0.795743383448,10,23,351168,1
28,female,646,0.943476416921,10,22,146653,15
28,female,646,1.58749397815,9,1,876941,4
28,female,646,0.650307207963,8,17,158581,3
28,female,646,0.619248928223,8,3,721876,1
28,female,646,0.597209172132,7,5,529536,4
28,female,646,0.399167952159,7,15,227322,0
28,female,646,1.10967409864,6,0,192379,4
28,female,646,0.581078162575,6,2,100969,1
28,female,646,0.551543106868,6,23,363973,0
28,female,646,0.955925851735,5,22,439969,2
28,female,646,0.511189294653,4,13,906363,4
28,female,646,0.5747670545,4,5,884259,0
28,female,646,0.513988580135,3,22,1115580,1
28,female,646,0.942841844745,2,16,1350859,3
28,female,646,0.874490232227,1,2,82977,0
28,female,646,0.646709571603,1,5,1850510,3
28,female,646,0.816347391263,12,14,?,0
26,male,504,0.314522519308,2,13,4201501,3
26,male,504,2.33333333333,11,0,5834768,7
26,male,504,0.85930236082,5,3,749589,10
26,male,504,0.284629240604,4,11,86950,0
26,male,504,0.583261782259,3,6,184906,3
26,male,504,0.699548528567,2,3,980815,4
26,male,504,3.0,1,1,172798,3
26,male,504,0.527099364569,12,8,359155,7
26,male,504,1.01301526397,11,0,505697,2
26,male,504,0.71562771264,10,1,431623,5
26,male,504,0.755630994359,9,23,259651,9
26,male,504,0.313340571704,8,2,120312,0
26,male,504,0.551790519814,7,20,834871,6
26,male,504,0.491171056394,6,2,1468380,2
26,male,504,0.691843983896,5,21,971003,0
26,male,504,0.862318189382,5,7,46735,6
26,male,504,0.279224459989,5,0,370553,4
26,male,504,0.875500381466,4,12,381903,0
26,male,504,0.771821807793,4,2,80268,3
26,male,504,0.637466462159,3,17,136274,0
26,male,504,1.12878787879,2,1,205219,1
26,male,504,0.877438932612,2,22,76339,9
26,male,504,0.748532058069,1,4,622029,4
26,male,504,0.589123572452,1,4,353646,2
26,male,504,0.59919728695,1,3,312028,1
26,male,504,1.20531311839,12,13,61773,3
26,male,504,0.575248278706,12,2,175181,3
26,male,504,0.54834270984,12,4,173794,5
26,male,504,0.559540772719,12,5,274287,1
26,male,504,0.562678533233,12,5,284377,1
26,male,504,0.344181300177,11,18,188356,1
26,male,504,0.616119356155,11,4,614661,8
26,male,504,0.919786426088,11,23,251167,13
