@relation validation

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' numeric
@attribute 'hour' numeric
@attribute 'time_since_last' numeric
@attribute 'likes' numeric 

@data
22,male,554,0.224123989218,5,3,7022,0
22,male,554,0.224123989218,5,22,1589,0
22,male,554,0.224123989218,5,17,6,0
22,male,554,0.224123989218,5,14,25246,0
22,male,554,0.474123989218,5,6,10843,1
22,male,554,0.224123989218,5,0,4349,0
22,male,554,0.724123989218,5,17,11706,2
22,male,554,0.224123989218,5,21,7652,0
22,male,554,0.474123989218,5,16,3765,0
22,male,554,0.474123989218,5,4,12781,1
22,male,554,0.349123989218,5,23,4446,1
22,male,554,0.608606384406,5,20,43318,0
22,male,554,0.474123989218,5,18,78301,1
22,male,554,0.521843039401,5,5,886,1
22,male,554,0.587355058943,4,14,82938,1
22,male,554,0.466406538185,2,5,3384,1
22,male,554,0.518249230457,2,2,3590,1
22,male,554,0.511663214029,2,7,1411,0
22,male,554,0.458798827688,2,18,29184,1
22,male,554,0.50715234314,2,10,170,2
22,male,554,0.493083784378,2,17,44629,0
22,male,554,0.480126224233,2,7,172588,1
22,male,554,0.603043784951,1,10,1930,1
22,male,554,0.587616010092,1,8,5931590,5
22,male,554,5.0,9,0,122510,5
22,male,554,0,9,17,8633498,1
22,male,554,0.327558176813,5,7,142857,1
22,male,554,0.88899848087,3,21,17093239,7
22,male,554,1.08078797844,7,15,1468417,16
22,male,554,0.440451741612,5,23,79377,0
22,male,554,0.87643889727,3,15,16804890,6
22,male,554,0.753081737194,9,1,2611073,3
22,male,554,0.943712735635,7,2,21244485,10
?,male,?,0,6,14,11914193,1
?,male,?,0.0357142857143,1,0,2015689,0
?,male,?,0.744857794797,12,18,2784071,3
?,male,?,0.0,10,4,949201,0
?,male,?,0.218990864426,8,17,7443782,0
?,male,?,0.515473402066,2,18,3674088,1
?,male,?,0.444113454036,12,2,117339,1
?,male,?,2.0,9,21,7102987,2
?,male,?,0.460498024843,6,1,7448929,1
?,male,?,0.4,12,2,1053891,0
